,CUSTOMER_NAME,INDIVIDUAL_COUNT,CORPORATE_COUNT
0,8429 Danesh bonyan telecom,1,0
1,AB fazelab ostan esfahan,0,1
2,AB va Fazelab Ostan Tehran,0,0
3,ABA NAGHSH TEHRAN,0,0
4,ABFA Khorasan Razavi Company,0,0
5,ABTIN PARS PARVAR,0,0
6,AZARAN,1,0
7,Aaron Pad,1,0
8,Ab & Fazelab Ostan Qazvin,0,0
9,Ab & Fazelab Rostaei Ostan Esfahan,0,0
10,Ab & Fazelab Shahri Ostan Semnan,0,0
11,Ab Mantagei Gilan,8,0
12,Ab Mantaghee Azarbaijan Sharghi,1,0
13,Ab Mantaghei Fars,2,0
14,Ab Va Barghe Khuzestan,4,1
15,Ab Va Fazelab Mantagheh 1 Tehran,1,0
16,Ab Va Fazelab Mantagheh 2 Tehran,0,4
17,Ab Va Fazelab Mashhad Co,15,0
18,Ab fazelab ostan khorasn razavi co,28,0
19,Ab o Fazelab Khozestan Co,0,0
20,Ab va Fazelab Kashan,0,0
21,Ab va Fazelab Ostan Alborz Company,5,0
22,Ab va Fazelab Ostan Azarbaijan,0,0
23,Ab va Fazelab Ostan Esfahan,6,1
24,Ab va Fazelab Ostan Khuzestan,0,0
25,Ab va bargh kish,0,0
26,Ab va fazelab boshehr,20,1
27,Ab va fazelab rostaei khuzestan,0,0
28,Ab va fazelab rostaei ostan ghom,3,0
29,Abad Rah Nama,0,0
30,Abad gostar tasisat iranian co,1,0
31,Abad rahdar pars,0,0
32,Abadgaran bar sava co,1,0
33,Abfaye ostan sistan va baluchestan,0,1
34,Abniyeh milad kosar,0,0
35,Aboh farma co,1,0
36,Abrar Seir pars Co,1,0
37,Abzarhaye farsi shabakeh,1,0
38,Abzian sanati robian co,1,0
39,Adak electronic co,1,0
40,Adavat rahdari shahab co,4,0
41,Adel Bad Avar,0,4
42,Adineh vasl co,1,0
43,Afagh alvand khavarmiyaneh,1,0
44,Afkar Sanji Daneshjoyan Iran,0,0
45,Afrand atlas company,4,0
46,Afranet Co,0,0
47,Afranet co,2,0
48,Afraz enerzhi kavir co,1,0
49,Ahak sanati setareh omid bahram,1,0
50,Ahan folad arfa co,2,0
51,Airya Radis Sanat,0,0
52,Akam sazan pargas,1,0
53,Akhavan mohaseb jonob co,1,0
54,Akpa iran kish co,1,0
55,Alfa Pardazesh Khavarmiyaneh Co,51,0
56,Almas Fanavari Nikan Co,0,0
57,Almas Maseh Fashafouyeh Co,1,0
58,Almas abi sabor co,1,0
59,Almaseh sanj co,1,0
60,Alminiom pars company,0,0
61,Aluminium Pezhvak Sepahan,3,0
62,Alvan namaye pars,1,0
63,Alvvand pars sepahan co,1,0
64,Alyaft company,2,0
65,Alyaft zagros peiman,1,0
66,Amade Laziz Pakhsh Iranian,29,0
67,Amanda tarh azar abadegan co,1,0
68,Amar pardazan faraz,0,0
69,Amayesh dadeh tejarat novin co,1,0
70,Amir kabir university,1,0
71,Amir medisa poush,1,0
72,Amitis Hamta,0,0
73,Amozesh ali gheir dolati ale taha,1,0
74,Amozesh fani herfei khorasan,12,0
75,Amozesh gheir entefaei elmo fan,1,0
76,Amozesh-parvaresh tehran,10,0
77,Amozeshgah emam ali,1,0
78,Amozeshkade fani herfei saveh,1,0
79,Amozeshkade naghshe bardari,1,0
80,Amvaj khoroshan niro,2,0
81,Andisheh Negar,20,0
82,Andisheh nik kasit co,1,0
83,Andisheh sazan salamat parsian co,1,0
84,Anjoman Khaeriyeh Asodeh Mavi,1,0
85,Anjoman Salamat Khanevadeh Iran,3,0
86,Anjoman dandanpezeshkan omomi,1,0
87,Anjoman senfi far'avardehaye nafti,1,0
88,Anjoman vared konandegan khodro,1,0
89,Anjomanhaye senfi atbae khareji,235,0
90,Anzali trade industrial frezone organization,0,0
91,Anzimhaye sanati iran co,1,0
92,Aparnak fanavar co,1,0
93,Aperteman sazi mahestan,1,0
94,Araj amvaj moj co,1,0
95,Aram seir espaneh co,1,0
96,Aran part asia co,1,0
97,Aras etefage artavil,0,0
98,Araz fakhr azar co,1,0
99,Ard andimeshk khuzestan co,1,0
100,Ard gandom ghafelankoh co,2,0
101,Ard tejarat co,2,0
102,Arda dorbin co,0,0
103,Aria Baron Toss Company,1,0
104,Aria Fan Abzar Co,0,0
105,Aria Hamrah Samaneh Co,23,486
106,Aria Polymer Pish'gam,0,0
107,Aria San'at Bisotoun e Alvand Co,1,0
108,Aria pishro shargh co,1,0
109,Aria sepehr shimi co,1,0
110,Aria tak hiva caspian,1,0
111,Aria tarabar asia,2,0
112,Arian Asansor,0,2
113,Arian Motor Pouya,2,0
114,Ario Zhen Pharmed Co,0,1
115,Ario payam iranian co,0,561
116,Aris rayaneh,0,0
117,Ariya Tarh Mobarakeh Sepahan,1,0
118,Arka Gostare Eghlim Co,1,0
119,Arka fidar gheshm co,1,0
120,Armaghan astaraei co,1,0
121,Armaghan salamat kish,1,0
122,Arman Ide Gostar pars,1,0
123,Arman fakhteh azarbayjan co,10,0
124,Arman gostar rasekh co,1,0
125,Arman minaye yazd co,1,0
126,Arman sayal oxin co,1,0
127,Arna sanat emertat co,1,0
128,Arshin bana gharb co,1,0
129,Arta enerji shargh co,1,0
130,Arta novin yazdan khorasan co,1,0
131,Arta shimi aras pad co,1,0
132,Artin bornaye tehran co,1,0
133,Arvand charkh company,1,0
134,Arvin teb co,1,0
