,CUSTOMER_NAME,SERIAL_COUNT
0,8429 Danesh bonyan telecom,1
1,AB fazelab ostan esfahan,1
2,AB va Fazelab Ostan Tehran,1
3,ABA NAGHSH TEHRAN,3
4,ABFA Khorasan Razavi Company,6
5,ABTIN PARS PARVAR,1
6,AZARAN,1
7,Aaron Pad,1
8,Ab & Fazelab Ostan Qazvin,2
9,Ab & Fazelab Rostaei Ostan Esfahan,1
10,Ab & Fazelab Shahri Ostan Semnan,31
11,Ab Mantagei Gilan,8
12,Ab Mantaghee Azarbaijan Sharghi,1
13,Ab Mantaghei Fars,2
14,Ab Va Barghe Khuzestan,46
15,Ab Va Fazelab Mantagheh 1 Tehran,21
16,Ab Va Fazelab Mantagheh 2 Tehran,90
17,Ab Va Fazelab Mashhad Co,15
18,Ab fazelab ostan khorasn razavi co,28
19,Ab o Fazelab Khozestan Co,11
20,Ab va Fazelab Kashan,30
21,Ab va Fazelab Ostan Alborz Company,82
22,Ab va Fazelab Ostan Azarbaijan,2
23,Ab va Fazelab Ostan Esfahan,9
24,Ab va Fazelab Ostan Khuzestan,7
25,Ab va bargh kish,1
26,Ab va fazelab boshehr,22
27,Ab va fazelab rostaei khuzestan,1
28,Ab va fazelab rostaei ostan ghom,3
29,Abad Rah Nama,1
30,Abad gostar tasisat iranian co,1
31,Abad rahdar pars,1
32,Abadgaran bar sava co,1
33,Abfaye ostan sistan va baluchestan,14
34,Abniyeh milad kosar,1
35,Aboh farma co,3
36,Abrar Seir pars Co,1
37,Abzarhaye farsi shabakeh,1
38,Abzian sanati robian co,1
39,Adak electronic co,1
40,Adavat rahdari shahab co,4
41,Adel Bad Avar,9
42,Adineh vasl co,1
43,Afagh alvand khavarmiyaneh,1
44,Afkar Sanji Daneshjoyan Iran,1
45,Afrand atlas company,4
46,Afranet Co,1
47,Afranet co,2
48,Afraz enerzhi kavir co,1
49,Ahak sanati setareh omid bahram,2
50,Ahan folad arfa co,2
51,Airya Radis Sanat,1
52,Akam sazan pargas,1
53,Akhavan mohaseb jonob co,1
54,Akpa iran kish co,1
55,Alfa Pardazesh Khavarmiyaneh Co,55
56,Almas Fanavari Nikan Co,1
57,Almas Maseh Fashafouyeh Co,1
58,Almas abi sabor co,1
59,Almaseh sanj co,1
60,Alminiom pars company,1
61,Aluminium Pezhvak Sepahan,3
62,Alvan namaye pars,1
63,Alvvand pars sepahan co,1
64,Alyaft company,2
65,Alyaft zagros peiman,1
66,Amade Laziz Pakhsh Iranian,30
67,Amanda tarh azar abadegan co,1
68,Amar pardazan faraz,3
69,Amayesh dadeh tejarat novin co,1
70,Amir kabir university,1
71,Amir medisa poush,1
72,Amitis Hamta,201
73,Amozesh ali gheir dolati ale taha,1
74,Amozesh fani herfei khorasan,12
75,Amozesh gheir entefaei elmo fan,1
76,Amozesh-parvaresh tehran,10
77,Amozeshgah emam ali,1
78,Amozeshkade fani herfei saveh,1
79,Amozeshkade naghshe bardari,1
80,Amvaj khoroshan niro,3
81,Andisheh Negar,20
82,Andisheh nik kasit co,1
83,Andisheh sazan salamat parsian co,1
84,Anjoman Khaeriyeh Asodeh Mavi,2
85,Anjoman Salamat Khanevadeh Iran,3
86,Anjoman dandanpezeshkan omomi,1
87,Anjoman senfi far'avardehaye nafti,1
88,Anjoman vared konandegan khodro,1
89,Anjomanhaye senfi atbae khareji,235
90,Anzali trade industrial frezone organization,2
91,Anzimhaye sanati iran co,1
92,Aparnak fanavar co,1
93,Aperteman sazi mahestan,1
94,Araj amvaj moj co,1
95,Aram seir espaneh co,1
96,Aran part asia co,1
97,Aras etefage artavil,1
98,Araz fakhr azar co,1
99,Ard andimeshk khuzestan co,1
100,Ard gandom ghafelankoh co,2
