,CUSTOMER_NAME,NOT_REGISTERED_PERCENTAGE,MODEM_COUNT
0,8429 Danesh bonyan telecom,0.0,1
1,AB fazelab ostan esfahan,0.0,1
2,AB va Fazelab Ostan Tehran,1.0,1
3,ABA NAGHSH TEHRAN,1.0,3
4,ABFA Khorasan Razavi Company,1.0,6
5,ABTIN PARS PARVAR,1.0,1
6,AZARAN,0.0,1
7,Aaron Pad,0.0,1
8,Ab & Fazelab Ostan Qazvin,1.0,2
9,Ab & Fazelab Rostaei Ostan Esfahan,1.0,1
10,Ab & Fazelab Shahri Ostan Semnan,1.0,31
11,Ab Mantagei Gilan,0.0,8
12,Ab Mantaghee Azarbaijan Sharghi,0.0,1
13,Ab Mantaghei Fars,0.0,2
14,Ab Va Barghe Khuzestan,0.8913043478260869,46
15,Ab Va Fazelab Mantagheh 1 Tehran,0.9523809523809523,21
16,Ab Va Fazelab Mantagheh 2 Tehran,0.9555555555555556,90
17,Ab Va Fazelab Mashhad Co,0.0,15
18,Ab fazelab ostan khorasn razavi co,0.0,28
19,Ab o Fazelab Khozestan Co,1.0,11
20,Ab va Fazelab Kashan,1.0,30
21,Ab va Fazelab Ostan Alborz Company,0.9390243902439024,82
22,Ab va Fazelab Ostan Azarbaijan,1.0,2
23,Ab va Fazelab Ostan Esfahan,0.2222222222222222,9
24,Ab va Fazelab Ostan Khuzestan,1.0,7
25,Ab va bargh kish,1.0,1
26,Ab va fazelab boshehr,0.045454545454545456,22
27,Ab va fazelab rostaei khuzestan,1.0,1
28,Ab va fazelab rostaei ostan ghom,0.0,3
29,Abad Rah Nama,1.0,1
30,Abad gostar tasisat iranian co,0.0,1
31,Abad rahdar pars,1.0,1
32,Abadgaran bar sava co,0.0,1
33,Abfaye ostan sistan va baluchestan,0.9285714285714286,14
34,Abniyeh milad kosar,1.0,1
35,Aboh farma co,0.6666666666666666,3
36,Abrar Seir pars Co,0.0,1
37,Abzarhaye farsi shabakeh,0.0,1
38,Abzian sanati robian co,0.0,1
39,Adak electronic co,0.0,1
40,Adavat rahdari shahab co,0.0,4
41,Adel Bad Avar,0.5555555555555556,9
42,Adineh vasl co,0.0,1
43,Afagh alvand khavarmiyaneh,0.0,1
44,Afkar Sanji Daneshjoyan Iran,1.0,1
45,Afrand atlas company,0.0,4
46,Afranet Co,1.0,1
47,Afranet co,0.0,2
48,Afraz enerzhi kavir co,0.0,1
49,Ahak sanati setareh omid bahram,0.5,2
50,Ahan folad arfa co,0.0,2
51,Airya Radis Sanat,1.0,1
52,Akam sazan pargas,0.0,1
53,Akhavan mohaseb jonob co,0.0,1
54,Akpa iran kish co,0.0,1
55,Alfa Pardazesh Khavarmiyaneh Co,0.07272727272727272,55
56,Almas Fanavari Nikan Co,1.0,1
57,Almas Maseh Fashafouyeh Co,0.0,1
58,Almas abi sabor co,0.0,1
59,Almaseh sanj co,0.0,1
60,Alminiom pars company,1.0,1
61,Aluminium Pezhvak Sepahan,0.0,3
62,Alvan namaye pars,0.0,1
63,Alvvand pars sepahan co,0.0,1
64,Alyaft company,0.0,2
65,Alyaft zagros peiman,0.0,1
66,Amade Laziz Pakhsh Iranian,0.03333333333333333,30
67,Amanda tarh azar abadegan co,0.0,1
68,Amar pardazan faraz,1.0,3
69,Amayesh dadeh tejarat novin co,0.0,1
70,Amir kabir university,0.0,1
71,Amir medisa poush,0.0,1
72,Amitis Hamta,1.0,201
73,Amozesh ali gheir dolati ale taha,0.0,1
74,Amozesh fani herfei khorasan,0.0,12
75,Amozesh gheir entefaei elmo fan,0.0,1
76,Amozesh-parvaresh tehran,0.0,10
77,Amozeshgah emam ali,0.0,1
78,Amozeshkade fani herfei saveh,0.0,1
79,Amozeshkade naghshe bardari,0.0,1
80,Amvaj khoroshan niro,0.3333333333333333,3
81,Andisheh Negar,0.0,20
82,Andisheh nik kasit co,0.0,1
83,Andisheh sazan salamat parsian co,0.0,1
84,Anjoman Khaeriyeh Asodeh Mavi,0.5,2
85,Anjoman Salamat Khanevadeh Iran,0.0,3
86,Anjoman dandanpezeshkan omomi,0.0,1
87,Anjoman senfi far'avardehaye nafti,0.0,1
88,Anjoman vared konandegan khodro,0.0,1
89,Anjomanhaye senfi atbae khareji,0.0,235
90,Anzali trade industrial frezone organization,1.0,2
91,Anzimhaye sanati iran co,0.0,1
92,Aparnak fanavar co,0.0,1
93,Aperteman sazi mahestan,0.0,1
94,Araj amvaj moj co,0.0,1
95,Aram seir espaneh co,0.0,1
96,Aran part asia co,0.0,1
97,Aras etefage artavil,1.0,1
98,Araz fakhr azar co,0.0,1
99,Ard andimeshk khuzestan co,0.0,1
100,Ard gandom ghafelankoh co,0.0,2
101,Ard tejarat co,0.0,2
102,Arda dorbin co,1.0,1
103,Aria Baron Toss Company,0.0,1
104,Aria Fan Abzar Co,1.0,2
105,Aria Hamrah Samaneh Co,0.22052067381316998,653
106,Aria Polymer Pish'gam,1.0,2
107,Aria San'at Bisotoun e Alvand Co,0.0,1
108,Aria pishro shargh co,0.0,1
109,Aria sepehr shimi co,0.0,1
110,Aria tak hiva caspian,0.0,1
111,Aria tarabar asia,0.0,2
112,Arian Asansor,0.9821428571428571,112
113,Arian Motor Pouya,0.3333333333333333,3
