,CUSTOMER_NAME,COUNT
0,Beh Pardakht Mellat Co,136650
1,Kart Etebari Iran Kish Co,53968
2,Ario payam iranian co,50550
3,Enteghal dadehaye asia tek co,18657
4,Tejarat Electronic Parsian Co.,10536
5,Pardakht electronic Sadad,8729
6,Fan Ava Kart Company,5003
7,Daneshgah Oloum Pezeshki Tehran,4430
8,Ertebatat farzanegan pars co,4409
9,Hesabgar Pardaz garb,3338
10,Gostaresh Ertebatat Mabna,3254
11,Houshmand Ertebatat Bamdad,3167
12,Pishgaman toseeh ertebatat,3047
13,EB E-shop,3032
14,Enteghal Dadeh MAHAN,2636
15,Pardakht Electronic Saman Co,2524
16,Gostaresh fanavri etealat ertebat,2142
17,Enteghal Ddaehaye Asia tech,2120
18,sherkat pajohesh tose naji,1969
19,Pardakht novin arian,1955
